id	hypothesis	why_non_obvious	strongest_existing_data_test	falsifier	likely_artifact	source_angle	model
tofa_treg_glycolytic_brake	The UC tofacitinib T/B remodeling signature reflects a JAK1/3-dependent glycolytic brake on effector T cells that releases a Treg:Tfh ratio shift, and the same ratio shift predicts MS DMT response independent of UC context.	It reframes the T/B AUC advantage as an immunometabolic ratio readout rather than a lineage abundance change, which is what cell-composition artifact tests would otherwise dismiss.	Compute Treg/Tfh signature scores (FOXP3/IKZF2 vs BCL6/CXCR5/PDCD1) within the UC tofa compartments and test correlation with the AUC lead; then evaluate the same score in public MS DMT cohorts (e.g., GSE131281 fingolimod, GSE126802).	AUC advantage persists after regressing out Treg/Tfh scores, or MS DMT cohorts show no response stratification by the ratio.	Deconvolution-driven cell fraction shifts mimicking metabolic signal in bulk RNA.	immunometabolism	claude
postpartum_cd64_monocyte_egress	The postpartum HLA-II/CD64 APC imbalance is driven by a transient CD64-high intermediate monocyte egress wave that homes to CNS perivascular niches and seeds the 3-6 month relapse window.	It localizes a blood-measured imbalance to a specific trafficking subset and a defined temporal window, instead of a generic APC activation story.	Score CD14+CD16+CD64hi monocyte signatures in existing pregnancy-phase transcriptomes and overlay with public postpartum MS cohorts (e.g., PRIMS-adjacent datasets, GSE17048 subsets) for time-to-relapse stratification.	CD64hi intermediate monocyte signature does not rise postpartum or fails to stratify relapse timing.	Lactation/prolactin-driven monocyte shifts unrelated to MS pathology.	temporal_stage	claude
sterol_setpoint_lysosomal_coupling	The metabolic/sterol setpoint and lysosomal APC modules are mechanistically coupled via NPC1/LIPA-dependent cholesterol egress that gates MHC-II loading efficiency in dendritic cells.	It predicts that two independently up-ranked modules are one bottleneck, making a single perturbation sufficient and providing intervention-grade leverage.	Test co-variation of NPC1/LIPA/LSS with CIITA/CD74/HLA-DR module scores across existing donor data; cross-check with public LXR-agonist or U18666A perturbation transcriptomes (LINCS/GEO).	Sterol egress genes do not predict MHC-II module variance and perturbation datasets show decoupling.	Macrophage activation state co-driving both modules without causal coupling.	cell_cell_interaction	claude
meningeal_bcell_niche_proxy	A blood-detectable CXCR5+ memory B / CXCL13-responsive signature is a peripheral proxy for meningeal tertiary lymphoid structures and explains the progressive complement/lipid axis that was donor-confound-downgraded.	It rescues the downgraded progressive axis by reattributing it to a tissue niche rather than a donor batch effect.	Build a CXCL13/CXCR5/LTB/TNFRSF13B score in existing progressive MS bulk data and test against meningeal TLS-positive vs negative postmortem cohorts (e.g., Magliozzi-linked public sets).	Score does not separate TLS+ vs TLS- postmortem samples or does not survive donor-aware controls.	Plasmablast contamination or donor-level B-cell abundance variance.	tissue_niche	claude
ebv_ifn_imprint_genetic_decoupling	The downgraded EBV/IFN APC imprint is real but only visible after stratifying by HLA-DRB1*15:01 dosage, because the imprint requires the risk allele to manifest transcriptionally.	It explains why random-gene controls killed the signal in aggregate while preserving a genotype-conditional effect.	Re-run EBV/IFN module scoring stratified by imputed HLA-DRB1*15:01 status (from existing SNP/expression data or HLA imputation on RNA) in project cohorts.	No interaction between HLA-DRB1*15:01 dosage and EBV/IFN module score.	HLA imputation error from RNA-seq inflating apparent stratification.	genetics_decoupling	claude
circadian_treatment_window	Tofacitinib's T/B compartment AUC advantage is amplified by morning-dosed samples because JAK-STAT targets oscillate diurnally, and unmodeled sampling time inflates or masks the effect.	It proposes a dosing-time covariate that could explain both AUC persistence and replication failure across cohorts.	Extract sampling time metadata (or infer via core clock gene phase: ARNTL/PER2/NR1D1) from existing tofa cohorts and test as a moderator of the T/B lead.	Inferred circadian phase shows no interaction with the AUC effect.	Clinic scheduling confounded with disease severity.	treatment_dynamics	claude
gut_vagal_apc_priming	A gut-derived bile acid (TGR5/FXR) signal primes lysosomal APC tone via vagal-adjacent mesenteric DCs, linking UC-context tofa response to MS-relevant APC biology through a shared enteric axis.	It bridges the UC dataset choice to MS without invoking generic JAK biology, making the cross-disease transfer mechanistically specific.	Score NR1H4/GPBAR1/CYP7A1-axis genes and lysosomal APC module in UC tofa data; test correlation with response, then check MS gut-axis public cohorts (e.g., iMSMS-linked transcriptomes).	Bile acid receptor axis does not co-vary with lysosomal APC module or response.	UC mucosal inflammation generically driving both axes.	infectious_trigger	claude
astrocyte_complement_lipid_relay	The progressive complement/lipid axis reflects an astrocyte-microglia C3-ApoE relay that is detectable peripherally only via extracellular-vesicle cargo, explaining donor-aware downgrading in bulk blood.	It posits the signal lives in EV transcripts not bulk PBMC, predicting a specific assay redirection rather than abandonment.	If project has plasma/serum small-RNA or EV-RNA fractions, score C3/C1Q/APOE/TREM2 modules there; otherwise use public MS plasma EV datasets (e.g., GSE-listed exosome MS sets) to test progressive vs RRMS contrast.	EV-fraction signal also fails donor-aware/random-gene controls.	Platelet/erythrocyte contamination dominating EV RNA.	neuroimmune	claude
metabolite_danger_signal	A specific circulating lipid metabolite, produced during metabolic stress, is aberrantly sensed by a scavenger receptor on APCs as a damage-associated molecular pattern (DAMP), triggering their pro-inflammatory activation.	This shifts the focus from cell-intrinsic metabolic reprogramming to the extracellular sensing of systemic metabolic byproducts as novel, non-canonical immune triggers.	Correlate untargeted serum metabolomics data with APC activation markers (e.g., CD86, HLA-DR) from matched PBMC flow cytometry data, looking for a specific lipid class that predicts APC state independent of traditional cytokines.	No correlation exists between any lipid species or class and APC activation status after correcting for known inflammatory mediators.	Dietary fluctuations or differences in fasting status between donors create strong lipid signatures that falsely correlate with immune status.	immunometabolism	gemini
galt_priming_disruption	Tofacitinib's efficacy is primarily driven by disrupting the formation of ectopic germinal center-like structures in gut-associated lymphoid tissue (GALT), preventing the initial priming and trafficking of CNS-autoreactive T/B cells.	It posits that a key therapeutic intervention for a CNS disease acts not systemically or in the CNS, but by dismantling a specific immune-priming niche in a remote mucosal tissue.	In the existing UC tofacitinib dataset, test if B-cell and T-cell subsets show a significantly greater reduction in GALT-homing chemokine receptors (e.g., CCR9, α4β7) compared to systemic (e.g., CCR7) or CNS-homing (e.g., CXCR3) receptors.	Tofacitinib causes a uniform, non-selective downregulation of all activation and homing markers across T/B cell subsets.	The underlying UC pathology creates a GALT-centric signal that is not generalizable to MS, where the primary inflammatory site is different.	cell_cell_interaction	gemini
pvm_lysosomal_blockade	A cell-intrinsic lysosomal lipid-processing defect in long-lived perivascular macrophages, but not microglia or infiltrating monocytes, creates a self-perpetuating, non-resolving inflammatory niche at the blood-brain barrier.	This assigns a unique pathogenic role to the often-overlooked perivascular macrophage population, distinct from both microglia and peripheral infiltrates, based on a specific organelle dysfunction.	Mine public MS lesion spatial transcriptomics datasets (e.g., from GEO/ArrayExpress) to test if cells identified as perivascular macrophages (e.g., CD163+/MRC1+) show a unique and enriched signature of lysosomal stress and lipid metabolism dysregulation compared to neighboring microglia and other myeloid cells.	Signatures of lysosomal dysfunction and lipid accumulation are either absent or are equally prominent in microglia and/or infiltrating monocytes within the same lesions.	Post-mortem interval (PMI) artifacts disproportionately affect lipid-rich myelin and phagocytic cells, creating a false signature of lysosomal stress.	tissue_niche	gemini
genetic_response_modulation	Non-HLA MS risk variants do not alter baseline immune states but instead function as response-QTLs, specifically controlling the magnitude of APC activation or T-cell proliferation in response to the dynamic hormonal shifts of the postpartum period.	This reframes the function of risk GWAS hits away from static eQTLs towards a gene-by-environment model, where the genetic risk is only revealed under a specific physiological challenge.	Using the project's postpartum data, stratify donors by a non-HLA MS risk SNP (e.g., rs6897932 in IL7R) and test for a significant interaction effect between genotype and pregnancy phase on the HLA-II/CD64 APC imbalance score.	The magnitude of the postpartum immune shift is consistent across all genotypes for the tested risk variant, showing no evidence of interaction.	The chosen SNP is in linkage disequilibrium with another variant that affects a baseline trait, and this baseline difference is misinterpreted as a differential response.	genetics_decoupling	gemini
b_cell_neuropeptide_sensing	Chronic stress-associated neuropeptides (e.g., CGRP, VIP) directly bind to receptors on memory B cells, acting as a non-canonical third signal that lowers the threshold for their activation and antigen presentation to T cells.	It proposes a direct neuro-immune communication axis where B cells, not typically seen as primary sensors of neuropeptides, are a key node for translating psychological stress into cellular autoimmunity.	In existing single-cell RNA-seq data, test for co-expression of neuropeptide receptors (e.g., VIPR1, CALCRL) and antigen presentation pathway genes (e.g., HLA-DQA1, CD86) within specific B cell clusters, and whether this co-expression module is enriched in MS.	Memory B cell subsets lack consistent or functional expression of neuropeptide receptors, or their expression is uncorrelated with the antigen presentation machinery.	In-vivo exposure to systemic stress hormones prior to blood draw creates a transient receptor expression pattern that is not reflective of a stable, functional role.	neuroimmune	gemini
