row_key	check	status	detail
Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	present_in_sourcing_plan	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/synthesis/high_priority_external_sourcing_plan_v48.tsv
Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	field_matches.rank	PASS	expected=1 observed=1
Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	field_matches.item	PASS	expected=Mucosal IBD early IFN/APC downshift validates while baseline fallback fails observed=Mucosal IBD early IFN/APC downshift validates while baseline fallback fails
Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	field_matches.priority_score	PASS	expected=18 observed=18
Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	field_matches.category	PASS	expected=positive_supported observed=positive_supported
Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	field_matches.evidence_grade	PASS	expected=supported observed=supported
Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	field_matches.source_type_needed	PASS	expected=IBD/MS transfer-specific literature or datasets observed=IBD/MS transfer-specific literature or datasets
Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	field_matches.search_route	PASS	expected=Search for MS-IBD treatment-response, IFN/APC dynamics, or layer-specific transfer studies with matching definitions. observed=Search for MS-IBD treatment-response, IFN/APC dynamics, or layer-specific transfer studies with matching definitions.
Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	field_matches.acceptance_criteria	PASS	expected=Source must address the same disease-pair layer and direction, or provide a dataset route for future grounding. observed=Source must address the same disease-pair layer and direction, or provide a dataset route for future grounding.
Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	field_matches.forbidden_shortcut	PASS	expected=Do not count generic MS-IBD comorbidity or genetics context as response-layer corroboration. observed=Do not count generic MS-IBD comorbidity or genetics context as response-layer corroboration.
