disease	axis_a	axis_a_label	placement_a	grade_a	confidence_a	compartment_a	causality_a	axis_b	axis_b_label	placement_b	grade_b	confidence_b	compartment_b	causality_b	placement_distance	independence_penalty	rank_score	compartment_mismatch	causality_mismatch	axis_nonindependence_risk	artifact_risk_notes	initial_classification
ulcerative colitis	axis_01_ifn_apc	IFN/APC antigen-presentation state	near	robust	high	colon myeloid	cross_sectional	axis_07_treatment_response	treatment-response architecture	contradictory	supported	medium	intestinal mucosa	treatment_perturbation	2.5	1.0	3.955078125	True	True	not_flagged	compartment mismatch; causality/measurement mismatch; confidence mismatch	unresolved_pending_artifact_audit
Sjogren syndrome	axis_01_ifn_apc	IFN/APC antigen-presentation state	near	supported	medium	salivary gland epithelial	cross_sectional	axis_04_lipid_lysosomal	lipid-lysosomal / foamy myeloid state	far	supported	medium	salivary gland APC; salivary gland epithelial	cross_sectional	3.0	1.0	3.75	True	False	not_flagged	compartment mismatch	unresolved_pending_artifact_audit
rheumatoid arthritis	axis_01_ifn_apc	IFN/APC antigen-presentation state	far	supported	medium	blood myeloid/APC	cross_sectional	axis_09_sex_hormonal_pregnancy	sex, hormonal, and pregnancy modulation	near	supported	medium	blood	natural_experiment	3.0	1.0	3.75	True	True	not_flagged	compartment mismatch; causality/measurement mismatch	unresolved_pending_artifact_audit
rheumatoid arthritis	axis_07_treatment_response	treatment-response architecture	far	supported	medium	blood	treatment_perturbation	axis_09_sex_hormonal_pregnancy	sex, hormonal, and pregnancy modulation	near	supported	medium	blood	natural_experiment	3.0	1.0	3.75	False	True	not_flagged	causality/measurement mismatch	unresolved_pending_artifact_audit
rheumatoid arthritis	axis_08_tissue_repair_resolution	tissue repair and resolution biology	far	supported	medium	blood/synovium	treatment_perturbation	axis_09_sex_hormonal_pregnancy	sex, hormonal, and pregnancy modulation	near	supported	medium	blood	natural_experiment	3.0	1.0	3.75	True	True	not_flagged	compartment mismatch; causality/measurement mismatch	unresolved_pending_artifact_audit
ulcerative colitis	axis_02_genetics	genetic risk architecture	near	supported	medium	germline	genetic_correlation	axis_07_treatment_response	treatment-response architecture	contradictory	supported	medium	intestinal mucosa	treatment_perturbation	2.5	1.0	3.75	True	True	not_flagged	compartment mismatch; causality/measurement mismatch	unresolved_pending_artifact_audit
Crohn disease	axis_01_ifn_apc	IFN/APC antigen-presentation state	near	supported	medium	colon myeloid	cross_sectional	axis_02_genetics	genetic risk architecture	intermediate	supported	medium	germline	genetic_correlation	1.0	1.0	1.5	True	True	not_flagged	compartment mismatch; causality/measurement mismatch	unresolved_pending_artifact_audit
Crohn disease	axis_02_genetics	genetic risk architecture	intermediate	supported	medium	germline	genetic_correlation	axis_07_treatment_response	treatment-response architecture	near	supported	medium	intestinal mucosa	treatment_perturbation	1.0	1.0	1.5	True	True	not_flagged	compartment mismatch; causality/measurement mismatch	unresolved_pending_artifact_audit
Crohn disease	axis_02_genetics	genetic risk architecture	intermediate	supported	medium	germline	genetic_correlation	axis_08_tissue_repair_resolution	tissue repair and resolution biology	near	supported	medium	intestinal mucosa	treatment_perturbation	1.0	1.0	1.5	True	True	not_flagged	compartment mismatch; causality/measurement mismatch	unresolved_pending_artifact_audit
ulcerative colitis	axis_07_treatment_response	treatment-response architecture	contradictory	supported	medium	intestinal mucosa	treatment_perturbation	axis_08_tissue_repair_resolution	tissue repair and resolution biology	near	supported	medium	intestinal mucosa	treatment_perturbation	2.5	0.25	0.78125	False	False	high	axis non-independence risk: treatment-response and repair evidence may overlap	unresolved_pending_artifact_audit
