gene	wave57_model_priority_score	strong_support_contexts	support_contexts	best_context	best_cosine_shift_z_vs_random	n_diseases_genetic_ge_0_25	diseases_genetic_ge_0_25	ms_genetic_association	positive_disease_count	negative_disease_count	positive_diseases	negative_diseases	ms_wm_delta_log2	ms_wm_p	ms_wm_fdr	in_lipid_lysosomal_myeloid_neighborhood	retained_positive_disease_count	strict_core_covariate_surviving_disease_count	top_retained_tests	efferocytosis_contrast_lfc	efferocytosis_contrast_fdr	efferocytosis_screen_call	chembl_activity_rows	chembl_best_nM	chembl_mechanism_rows	manual_directionality_risk
CTSB	17.75	2	3	IBD_myeloid	0.6552505451187753	1.0	T1D	0.0	2	0	psoriasis;ulcerative colitis		-0.0599954640789519	0.8140537383462653	0.9761732664217524	True	1.0	0.0	psoriasis_skin_stromal|lipid_loader_repair:0.313,p=0.004;psoriasis_skin_stromal|inflammatory_nfkb:0.306,p=0.011;psoriasis_keratinocyte|inflammatory_nfkb:0.84,p=0.012;psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.288,p=0.02;psoriasis_keratinocyte|hif_nampt_metabolic:0.914,p=0.031;psoriasis_skin_stromal|hif_nampt_metabolic:0.291,p=0.034	0.6806693526076654	0.920009505703422	UNRESOLVED	100	1.0	0	cathepsin B inhibition is plausible only as inflammatory protease control; broad inhibition may impair lysosomal proteolysis and antigen/debris handling
ASAH1	16.5	1	5	psoriasis_dendritic	0.5750157346000694				0	2		Crohn disease;ulcerative colitis	0.4645985538687647	0.0266365328274421	0.8472374898464006	False				-0.2734393303461515	0.9971256078463696	UNRESOLVED	100	0.8	0	acid ceramidase modulation affects ceramide/sphingosine rheostat; direction in autoimmune tissue is unresolved and systemic inhibition has toxicity risk
HEXB	8.0	1	1	t1d_acinar	0.5882702689970096				0	2		Crohn disease;ulcerative colitis	0.2440950857530737	0.2023278254000029	0.8993702893651148	False				-0.6849778462289053	0.920009505703422	UNRESOLVED	68	54.7	0	hexosaminidase enhancement, not inhibition, would be directionally plausible; enzyme replacement/gene therapy delivery is not autoimmune-specific
HEXA	7.75	1	1	psoriasis_macrophage	0.8895572828571129				1	1	Crohn disease	Sjogren syndrome	-0.2333966796222828	0.3783657469096832	0.9141270983319502	False				0.1552003923350254	0.9971256078463696	UNRESOLVED	10	100.0	0	hexosaminidase enhancement, not inhibition, would be directionally plausible; enzyme replacement/gene therapy delivery is not autoimmune-specific
CTSS	5.75	0	2	IBD_epithelial	0.1621527569276867	0.0		0.0	1	0	type 1 diabetes mellitus		0.189873422640673	0.1407159118865243	0.8989378106274888	True	2.0	0.0	ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.444,p=0.00022;ibd_crohn_myeloid|complement_phagocytosis:0.45,p=0.00049;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.551,p=0.0052;ibd_crohn_myeloid|hla_ii_apc:0.289,p=0.0052;ibd_uc_myeloid|lipid_loader_repair:0.313,p=0.011;ibd_crohn_myeloid|complement_effector:0.233,p=0.012;ibd_uc_myeloid|hla_ii_apc:0.395,p=0.018;ibd_uc_myeloid|complement_phagocytosis:0.481,p=0.021	-0.0519872568312869	1.0	UNRESOLVED	99	0.1	1	cathepsin S inhibition is antigen-presentation relevant but already a crowded HLA-II/MHC-II axis and may suppress useful antigen processing broadly
CTSD	5.5	0	2	IBD_epithelial	0.2322186178486432				0	2		Crohn disease;ulcerative colitis	0.4931363740249406	0.0483200176388117	0.8766654477139005	True				0.5374293467867003	0.920009505703422	UNRESOLVED	100	3.0	0	cathepsin D loss is neurodegeneration/lysosomal failure risk; simple inhibition is directionally unsafe
PSAP	3.5	0	1	IBD_myeloid	0.0577827831532968	0.0		0.0	1	1	type 1 diabetes mellitus	ulcerative colitis	0.4733416802617221	0.0222704205658317	0.8451477443363756	False				0.310391200533483	0.920009505703422	UNRESOLVED	2	6900.0	0	prosaposin/saposin support could affect sphingolipid catabolism but no selective autoimmune modality is apparent
LIPA	0.5	0	0	IBD_myeloid	1.0424090148838072				3	1	Crohn disease;psoriasis;type 1 diabetes mellitus	ulcerative colitis	0.4580110941773352	0.2725305004844303	0.9049965616313804	True	2.0	0.0	t1d_ductal_cell|lipid_loader_repair:0.275,p=0.00031;t1d_ductal_cell|c1q_phagocytic_myeloid:0.316,p=0.0015;t1d_ductal_cell|hif_nampt_metabolic:0.233,p=0.0016;t1d_ductal_cell|complement_phagocytosis:0.312,p=0.0019;psoriasis_keratinocyte|inflammatory_nfkb:0.271,p=0.023	-0.2765501534620043	1.0	UNRESOLVED	12	68.0	0	enhance/replace LAL; already parked due delivery, inconsistent myeloid direction, and MS repair prior art
GALC	0.25	0	0	IBD_myeloid	1.2767979884541334	5.0	AS;Crohn;MS;SLE;UC	0.5501215829794394	3	0	psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.1897668310526405	0.4547265367950667	0.9234563450681982	False				-0.6411892122129084	0.9965506589785832	UNRESOLVED	100	79.4	0	enhance/replace galactocerebrosidase in principle, but autoimmune direction and delivery are unproven
GBA1	0.5	0	0	ra_classical_monocyte	0.2515709046655379	0.0		0.0	1	0	type 1 diabetes mellitus					False							1	180000.0	0	enhance glucocerebrosidase in principle; autoimmune module evidence weak and Parkinson/lysosomal prior art crowded
SMPD1	0.0	0	0	sjogren_APC	0.5483745020273296	0.0		0.0	1	0	Sjogren syndrome		-0.0668468634811532	0.8164640687512335	0.9761732664217524	False				0.4814560691254719	0.9971256078463696	UNRESOLVED	100	5011.9	0	acid sphingomyelinase inhibition/enhancement direction is disease-context dependent and safety-prone
