route	source	query	count	top_hits	status	mode	url	raw_path
MED16_MEDIATOR_MODULE	EuropePMC	MED16 Mediator complex autoimmune macrophage antigen presentation	6	36969183: Study of the shared gene signatures of polyarticular juvenile idiopathic arthritis and autoimmune uveitis. (2023) | 33238435: An Overview of Nrf2 Signaling Pathway and Its Role in Inflammation. (2020) | 27211851: Nrf2 suppresses macrophage inflammatory response by blocking proinflammatory cytokine transcription. (2016) | 30612254: Purines 2018 Basic and Translational Science on Purinergic Signaling and its Components for a Healthy and Better World. (2018) | 31265794: Poster Viewing Sessions PB01-B01 to PB03-V09. (2019)	200	cache	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=MED16+Mediator+complex+autoimmune+macrophage+antigen+presentation&format=json&pageSize=5&resultType=lite	results_v3/wave53_perturbation_first_pivot/raw_api/europepmc_MED16_Mediator_complex_autoimmune_macrophage_antigen_presentation.json
MED16_MEDIATOR_MODULE	EuropePMC	CDK8 CDK19 inhibitor autoimmune inflammatory disease	37	41123539: Transcriptional cyclin-dependent kinases Cdk8 and Cdk19 are required for normal macrophage differentiation. (2025) | 40664606: Targeting Transcriptional Cyclin-Dependent Kinases in Cancer. (2025) | 39928031: Mediator kinase inhibition suppresses hyperactive interferon signaling in Down syndrome. (2025) | 39800748: Cyclin-dependent protein kinases and cell cycle regulation in biology and disease. (2025) | 38606172: Unveiling the impact of CDK8 on tumor progression: mechanisms and therapeutic strategies. (2024)	200	cache	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=CDK8+CDK19+inhibitor+autoimmune+inflammatory+disease&format=json&pageSize=5&resultType=lite	results_v3/wave53_perturbation_first_pivot/raw_api/europepmc_CDK8_CDK19_inhibitor_autoimmune_inflammatory_disease.json
MED16_MEDIATOR_MODULE	ClinicalTrials.gov	CDK8 autoimmune	0		200	cache	https://clinicaltrials.gov/api/v2/studies?query.term=CDK8+autoimmune&pageSize=5	results_v3/wave53_perturbation_first_pivot/raw_api/clinicaltrials.gov_CDK8_autoimmune.json
GSK3B_INHIBITION	EuropePMC	GSK3B inhibitor multiple sclerosis autoimmune disease	268	41367894: Potential Mechanisms of Tetramethylpyrazine in the Treatment of Traumatic Brain Injury Based on Network Pharmacology, Molecular Docking, Molecular Dynamics Simulations, and in vivo Experiments. (2025) | 41754795: An Integrated Network Biology and Molecular Dynamics Approach Identifies CD44 as a Promising Therapeutic Target in Multiple Sclerosis. (2026) | 40375490: Epilepsy and autophagy modulators: a therapeutic split. (2025) | 38886317: Establishment of the Diagnostic Signature of Ferroptosis Genes in Multiple Sclerosis. (2025) | 40157890: VP3.15, a dual GSK-3β/PDE7 inhibitor, reduces glioblastoma tumor growth though changes in the tumor microenvironment in a PTEN wild-type context. (2025)	200	cache	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=GSK3B+inhibitor+multiple+sclerosis+autoimmune+disease&format=json&pageSize=5&resultType=lite	results_v3/wave53_perturbation_first_pivot/raw_api/europepmc_GSK3B_inhibitor_multiple_sclerosis_autoimmune_disease.json
GSK3B_INHIBITION	EuropePMC	lithium glycogen synthase kinase 3 autoimmune encephalomyelitis	208	39363657: Lithium alleviates paralysis in experimental autoimmune neuritis in Lewis rats by modulating glycogen synthase kinase-3β activity. (2024) | 42023109: Endothelial adenosine A&lt;sub&gt;2A&lt;/sub&gt; receptor activation-mediated Tau hyperphosphorylation leads to blood-brain barrier breakdown in a chronic methamphetamine mouse model. (2026) | 40537482: Ferroptosis as a potential molecular mechanism of bipolar disorder. (2025) | 42041106: Probing Allosteric Kinase Modulators as Next Game-Changers in Fighting Neurodegeneration. (2026) | 41566325: Histone and non-histone (de)acetylation impact on the blood-brain barrier. (2026)	200	cache	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=lithium+glycogen+synthase+kinase+3+autoimmune+encephalomyelitis&format=json&pageSize=5&resultType=lite	results_v3/wave53_perturbation_first_pivot/raw_api/europepmc_lithium_glycogen_synthase_kinase_3_autoimmune_encephalomyelitis.json
GSK3B_INHIBITION	ClinicalTrials.gov	GSK3 multiple sclerosis	0		200	cache	https://clinicaltrials.gov/api/v2/studies?query.term=GSK3+multiple+sclerosis&pageSize=5	results_v3/wave53_perturbation_first_pivot/raw_api/clinicaltrials.gov_GSK3_multiple_sclerosis.json
TNFRSF1A_DAMPING	EuropePMC	TNFRSF1A TNFR1 multiple sclerosis anti TNF demyelination	102	41562846: Is Obesity a Modifiable Risk Factor in Multiple Sclerosis? Mechanistic Insights into Neuroinflammation and Oxidative Damage. (2026) | 40869160: TNFR2 Agonism: Basic Science and Promising Treatment for Multiple Sclerosis and Related Diseases. (2025) | 42151131: A comparative transcriptomic analysis of mouse demyelination models and multiple sclerosis lesions. (2026) | 41899320: Circulating Proinflammatory Cytokines and Soluble Cytokine Receptors as Diagnostic Biomarkers in Multiple Sclerosis. (2026) | 41683844: The Role of TNF-α in Ischemic Stroke. (2026)	200	cache	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=TNFRSF1A+TNFR1+multiple+sclerosis+anti+TNF+demyelination&format=json&pageSize=5&resultType=lite	results_v3/wave53_perturbation_first_pivot/raw_api/europepmc_TNFRSF1A_TNFR1_multiple_sclerosis_anti_TNF_demyelination.json
TNFRSF1A_DAMPING	EuropePMC	TNFR1 selective inhibitor autoimmune multiple sclerosis	1068	41832369: Selective Inhibition of Tumor Necrosis Factor for Attenuating Alzheimer's Disease: Strategies Targeting Neuroinflammation. (2026) | 40869160: TNFR2 Agonism: Basic Science and Promising Treatment for Multiple Sclerosis and Related Diseases. (2025) | 42044978: Necroptosis and the RIPK1-RIPK3-MLKL pathway in chronic kidney disease: mechanisms, crosstalk, and therapeutic opportunities. (2026) | 42104415: TNF-α and IFN-γ impair neural oscillations and induce neurodegeneration by microglial nitric oxide, metabolic and oxidative stress. (2026) | 41562846: Is Obesity a Modifiable Risk Factor in Multiple Sclerosis? Mechanistic Insights into Neuroinflammation and Oxidative Damage. (2026)	200	cache	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=TNFR1+selective+inhibitor+autoimmune+multiple+sclerosis&format=json&pageSize=5&resultType=lite	results_v3/wave53_perturbation_first_pivot/raw_api/europepmc_TNFR1_selective_inhibitor_autoimmune_multiple_sclerosis.json
TNFRSF1A_DAMPING	ClinicalTrials.gov	TNFR1 multiple sclerosis	2	NCT03847545: Muscle Strain in Multiple Sclerosis Patients Measured by Ultrasound Speckle Tracking Technique | NCT06058091: RY_SW01 Cell Injection Therapy in Systemic Sclerosis	200	cache	https://clinicaltrials.gov/api/v2/studies?query.term=TNFR1+multiple+sclerosis&pageSize=5	results_v3/wave53_perturbation_first_pivot/raw_api/clinicaltrials.gov_TNFR1_multiple_sclerosis.json
RFX5_MHCII_PARTIAL_SUPPRESSION	EuropePMC	RFX5 MHC class II autoimmune therapeutic target	96	41972741: Messing with Signal 1: How Perturbed MHC Class I Antigen Presentation Contributes to Cancer. (2026) | 42058193: Immune modulation for β-cell replacement in type 1 diabetes. (2026) | 42018196: Vaccine strategies for cancer prevention in Lynch syndrome: the potential of dendritic cell-based therapy. (2026) | 41122966: Improving immunotherapy responses by dual inhibition of macrophage migration inhibitory factor and PD-1. (2025) | 40862727: Hypoimmunogenic Human iPSCs for Repair and Regeneration in the CNS. (2025)	200	cache	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=RFX5+MHC+class+II+autoimmune+therapeutic+target&format=json&pageSize=5&resultType=lite	results_v3/wave53_perturbation_first_pivot/raw_api/europepmc_RFX5_MHC_class_II_autoimmune_therapeutic_target.json
